date,institution,FUTURE_INDEX,CALL_OI,PUT_OI,OPTIONS_NET_OI,FUTURE_INDEX_CHANGE,CALL_OI_CHANGE,PUT_OI_CHANGE,OPTIONS_NET_OI_CHANGE
2025-02-24,PRO,22860.0,-120608.0,50315.0,-170923.0,-2306.0,-101933.0,-70834.0,-31099.0
2025-02-25,CLIENT,148775.0,110068.0,-247635.0,357703.0,55.0,-6781.0,98020.0,-104801.0
2025-02-25,DII,25586.0,70.0,10984.0,-10914.0,-3724.0,0.0,-2000.0,2000.0
2025-02-25,FII,-199578.0,2348.0,257001.0,-254653.0,1312.0,-1341.0,-25355.0,24014.0
2025-02-25,PRO,25217.0,-112486.0,-20351.0,-92135.0,2357.0,8122.0,-70666.0,78788.0
2025-02-27,CLIENT,136290.0,-130358.0,-348748.0,218390.0,-12485.0,-240426.0,-101113.0,-139313.0
2025-02-27,DII,26490.0,70.0,10735.0,-10665.0,904.0,0.0,-249.0,249.0
2025-02-27,FII,-173534.0,82491.0,261617.0,-179126.0,26044.0,80143.0,4616.0,75527.0
2025-02-27,PRO,10754.0,47797.0,76395.0,-28598.0,-14463.0,160283.0,96746.0,63537.0
2025-02-28,CLIENT,145329.0,-109541.0,-393610.0,284069.0,9039.0,20817.0,-44862.0,65679.0
2025-02-28,DII,39551.0,70.0,13902.0,-13832.0,13061.0,0.0,3167.0,-3167.0
2025-02-28,FII,-188591.0,63259.0,244309.0,-181050.0,-15057.0,-19232.0,-17308.0,-1924.0
2025-02-28,PRO,3711.0,46212.0,135400.0,-89188.0,-7043.0,-1585.0,59005.0,-60590.0
2025-03-03,CLIENT,141859.0,-158862.0,-310896.0,152034.0,-3470.0,-49321.0,82714.0,-132035.0
2025-03-03,DII,43376.0,3470.0,13977.0,-10507.0,3825.0,3400.0,75.0,3325.0
2025-03-03,FII,-187792.0,63094.0,233273.0,-170179.0,799.0,-165.0,-11036.0,10871.0
2025-03-03,PRO,2557.0,92298.0,63646.0,28652.0,-1154.0,46086.0,-71754.0,117840.0
2025-03-04,CLIENT,147201.0,-222092.0,-353315.0,131223.0,5342.0,-63230.0,-42419.0,-20811.0
2025-03-04,DII,46907.0,4870.0,13050.0,-8180.0,3531.0,1400.0,-927.0,2327.0
2025-03-04,FII,-187423.0,134399.0,316688.0,-182289.0,369.0,71305.0,83415.0,-12110.0
2025-03-04,PRO,-6685.0,82823.0,23577.0,59246.0,-9242.0,-9475.0,-40069.0,30594.0
2025-03-05,CLIENT,148914.0,-273915.0,-272689.0,-1226.0,1713.0,-51823.0,80626.0,-132449.0
2025-03-05,DII,47658.0,4870.0,13593.0,-8723.0,751.0,0.0,543.0,-543.0
2025-03-05,FII,-184578.0,154601.0,296882.0,-142281.0,2845.0,20202.0,-19806.0,40008.0
2025-03-05,PRO,-11994.0,114444.0,-37787.0,152231.0,-5309.0,31621.0,-61364.0,92985.0
2025-03-06,CLIENT,141569.0,-286455.0,-316239.0,29784.0,-7345.0,-12540.0,-43550.0,31010.0
2025-03-06,DII,56274.0,4870.0,12093.0,-7223.0,8616.0,0.0,-1500.0,1500.0
2025-03-06,FII,-174355.0,147039.0,266762.0,-119723.0,10223.0,-7562.0,-30120.0,22558.0
2025-03-06,PRO,-23488.0,134546.0,37384.0,97162.0,-11494.0,20102.0,75171.0,-55069.0
2025-03-07,CLIENT,140717.0,-292250.0,-339647.0,47397.0,-852.0,-5795.0,-23408.0,17613.0
2025-03-07,DII,54718.0,4870.0,12093.0,-7223.0,-1556.0,0.0,0.0,0.0
2025-03-07,FII,-176158.0,182784.0,317226.0,-134442.0,-1803.0,35745.0,50464.0,-14719.0
2025-03-07,PRO,-19277.0,104596.0,10328.0,94268.0,4211.0,-29950.0,-27056.0,-2894.0
2025-03-10,CLIENT,136161.0,-194000.0,-387434.0,193434.0,-4556.0,98250.0,-47787.0,146037.0
2025-03-10,DII,54325.0,2175.0,14209.0,-12034.0,-393.0,-2695.0,2116.0,-4811.0
2025-03-10,FII,-179479.0,195146.0,334218.0,-139072.0,-3321.0,12362.0,16992.0,-4630.0
2025-03-10,PRO,-11007.0,-3321.0,39007.0,-42328.0,8270.0,-107917.0,28679.0,-136596.0
2025-03-11,CLIENT,137365.0,-285434.0,-362799.0,77365.0,1204.0,-91434.0,24635.0,-116069.0
2025-03-11,DII,59009.0,2126.0,14318.0,-12192.0,4684.0,-49.0,109.0,-158.0
2025-03-11,FII,-178971.0,250784.0,407953.0,-157169.0,508.0,55638.0,73735.0,-18097.0
2025-03-11,PRO,-17403.0,32524.0,-59471.0,91995.0,-6396.0,35845.0,-98478.0,134323.0
2025-03-12,CLIENT,143422.0,-172719.0,-299172.0,126453.0,6057.0,112715.0,63627.0,49088.0
2025-03-12,DII,59153.0,1575.0,14277.0,-12702.0,144.0,-551.0,-41.0,-510.0
2025-03-12,FII,-183481.0,218980.0,388140.0,-169160.0,-4510.0,-31804.0,-19813.0,-11991.0
2025-03-12,PRO,-19094.0,-47836.0,-103245.0,55409.0,-1691.0,-80360.0,-43774.0,-36586.0
2025-03-13,CLIENT,139374.0,-153620.0,-348890.0,195270.0,-4048.0,19099.0,-49718.0,68817.0
2025-03-13,DII,62761.0,1202.0,14153.0,-12951.0,3608.0,-373.0,-124.0,-249.0
2025-03-13,FII,-184034.0,145877.0,294193.0,-148316.0,-553.0,-73103.0,-93947.0,20844.0
2025-03-13,PRO,-18101.0,6541.0,40545.0,-34004.0,993.0,54377.0,143790.0,-89413.0
2025-03-17,CLIENT,134092.0,-340574.0,-335033.0,-5541.0,-5282.0,-186954.0,13857.0,-200811.0
2025-03-17,DII,62847.0,926.0,14153.0,-13227.0,86.0,-276.0,0.0,-276.0
2025-03-17,FII,-171884.0,208881.0,303863.0,-94982.0,12150.0,63004.0,9670.0,53334.0
2025-03-17,PRO,-25055.0,130767.0,17016.0,113751.0,-6954.0,124226.0,-23529.0,147755.0
2025-03-18,CLIENT,110973.0,-391256.0,-49095.0,-342161.0,-23119.0,-50682.0,285938.0,-336620.0
2025-03-18,DII,63680.0,590.0,18153.0,-17563.0,833.0,-336.0,4000.0,-4336.0
2025-03-18,FII,-141111.0,200467.0,243730.0,-43263.0,30773.0,-8414.0,-60133.0,51719.0
2025-03-18,PRO,-33542.0,190199.0,-212787.0,402986.0,-8487.0,59432.0,-229803.0,289235.0
2025-03-19,CLIENT,94660.0,-369689.0,-53469.0,-316220.0,-16313.0,21567.0,-4374.0,25941.0
2025-03-19,DII,70353.0,475.0,23953.0,-23478.0,6673.0,-115.0,5800.0,-5915.0
2025-03-19,FII,-128390.0,282800.0,291360.0,-8560.0,12721.0,82333.0,47630.0,34703.0
2025-03-19,PRO,-36623.0,86414.0,-261843.0,348257.0,-3081.0,-103785.0,-49056.0,-54729.0
2025-03-20,CLIENT,71621.0,-277522.0,-56800.0,-220722.0,-23039.0,92167.0,-3331.0,95498.0
2025-03-20,DII,74379.0,388.0,24953.0,-24565.0,4026.0,-87.0,1000.0,-1087.0
2025-03-20,FII,-111070.0,187490.0,193240.0,-5750.0,17320.0,-95310.0,-98120.0,2810.0
2025-03-20,PRO,-34930.0,89644.0,-161394.0,251038.0,1693.0,3230.0,100449.0,-97219.0
2025-03-21,CLIENT,51570.0,-298022.0,-9043.0,-288979.0,-20051.0,-20500.0,47757.0,-68257.0
2025-03-21,DII,74942.0,321.0,24953.0,-24632.0,563.0,-67.0,0.0,-67.0
2025-03-21,FII,-96715.0,169229.0,136319.0,32910.0,14355.0,-18261.0,-56921.0,38660.0
2025-03-21,PRO,-29797.0,128472.0,-152228.0,280700.0,5133.0,38828.0,9166.0,29662.0
2025-03-24,CLIENT,43051.0,-213438.0,53887.0,-267325.0,-8519.0,84584.0,62930.0,21654.0
2025-03-24,DII,70371.0,281.0,27779.0,-27498.0,-4571.0,-40.0,2826.0,-2866.0
2025-03-24,FII,-95496.0,114653.0,77148.0,37505.0,1219.0,-54576.0,-59171.0,4595.0
2025-03-24,PRO,-17926.0,98504.0,-158814.0,257318.0,11871.0,-29968.0,-6586.0,-23382.0
2025-03-25,CLIENT,38697.0,-49908.0,-45983.0,-3925.0,-4354.0,163530.0,-99870.0,263400.0
2025-03-25,DII,62254.0,137.0,53703.0,-53566.0,-8117.0,-144.0,25924.0,-26068.0
2025-03-25,FII,-90604.0,149928.0,183898.0,-33970.0,4892.0,35275.0,106750.0,-71475.0
2025-03-25,PRO,-10347.0,-100158.0,-191618.0,91460.0,7579.0,-198662.0,-32804.0,-165858.0
2025-03-26,CLIENT,41543.0,-97206.0,-143839.0,46633.0,2846.0,-47298.0,-97856.0,50558.0
2025-03-26,DII,64108.0,101.0,56117.0,-56016.0,1854.0,-36.0,2414.0,-2450.0
2025-03-26,FII,-83733.0,226107.0,266998.0,-40891.0,6871.0,76179.0,83100.0,-6921.0
2025-03-26,PRO,-21918.0,-129002.0,-179275.0,50273.0,-11571.0,-28844.0,12343.0,-41187.0
2025-03-27,CLIENT,8836.0,-167520.0,-214260.0,46740.0,-32707.0,-70314.0,-70421.0,107.0
2025-03-27,DII,58071.0,70.0,69034.0,-68964.0,-6037.0,-31.0,12917.0,-12948.0
2025-03-27,FII,-30555.0,152189.0,197207.0,-45018.0,53178.0,-73918.0,-69791.0,-4127.0
2025-03-27,PRO,-36352.0,15261.0,-51980.0,67241.0,-14434.0,144263.0,127295.0,16968.0
2025-03-28,CLIENT,22808.0,-64419.0,-160676.0,96257.0,13972.0,103101.0,53584.0,49517.0
2025-03-28,DII,58039.0,70.0,66034.0,-65964.0,-32.0,0.0,-3000.0,3000.0
2025-03-28,FII,-49007.0,75372.0,150798.0,-75426.0,-18452.0,-76817.0,-46409.0,-30408.0
2025-03-28,PRO,-31840.0,-11022.0,-56155.0,45133.0,4512.0,-26283.0,-4175.0,-22108.0
2025-04-01,CLIENT,31532.0,104773.0,-180075.0,284848.0,8724.0,169192.0,-19399.0,188591.0
2025-04-01,DII,67068.0,70.0,65034.0,-64964.0,9029.0,0.0,-1000.0,1000.0
2025-04-01,FII,-66578.0,72573.0,198926.0,-126353.0,-17571.0,-2799.0,48128.0,-50927.0
